clave_materia,materia,semestre,administracion,contaduría,informática
1626,TÉCNICAS DE NEGOCIACIÓN EMPRESARIAL,6,1,,
1627,AUDITORÍA II,6,,1,
1628,FINANZAS III (MERCADOS FINANCIEROS),6,,1,
1629,PERSONAS FÍSICAS,6,,1,
164,"ADMINISTRACIÓN DE EVENTOS (CONGRESOS, FERIAS Y EXPOSICIONES)",7,1,,
1654,PERSONAS MORALES II,6,,1,
1655,DESARROLLO DE SITIOS WEB CON TRANSACCIONES EN LÍNEA,6,,,1
1656,INFORMÁTICA VI (PROGRAMACIÓN E IMPLEMENTACIÓN DE SISTEMAS),6,,,1
1658,AUDITORIA INTERNA,7,,1,
1659,CONTRIBUCIONES INDIRECTAS Y AL COMERCIO EXTERIOR,4,,1,
1664,AUDITORIA EN INFORMATICA,7,,,1
1667,MATEMATICAS VI (INVESTIGACION DE OPERACIONES),6,,,1
1668,PROGRAMACIÓN DE DISPOSITIVOS MÓVILES,6,,,1
1721,ADMINISTRACIÓN PÚBLICA,7,1,,
1722,ADMINISTRACIÓN TÁCTICA DE OPERACIONES DE BIENES Y SERVICIOS,7,1,,
1723,CREACIÓN DE ORGANIZACIONES,7,1,,
1724,INSTRUMENTOS FINANCIEROS,7,1,,
1725,AUDITORÍA III,7,,1,
1726,FINANZAS IV (PROYECTOS DE INVERSIÓN),7,,1,
1727,CREACIÓN DE NEGOCIOS DE TECNOLOGÍA,7,,,1
1728,INFORMÁTICA VII (INGENIERÍA DE SOFTWARE),7,,,1
1729,PLANEACIÓN DE PROYECTOS INFORMÁTICOS,7,,,1
175,COMPORTAMIENTO EJECUTIVO,5,1,,
1765,PRINCIPIOS Y TECNICAS DE INVESTIGACION,1,,,1
1767,SEGURIDAD EN INFORMATICA,7,,,1
1768,SERVICIOS DE TECNOLOGÍA,8,,,1
177,AUDITORIA AL DESEMPEÑO,6,,1,
1824,ADMINISTRACIÓN ESTRATÉGICA,8,1,,
1825,ADMINISTRACIÓN DE PROYECTOS DE INVERSIÓN,8,1,,
1826,FINANZAS V (INGENIERÍA FINANCIERA),8,,1,
1850,ETICA EN LAS ORGANIZACIONES,2,,,1
1850,ETICA EN LAS ORGANIZACIONES,3,,1,
1850,ETICA EN LAS ORGANIZACIONES,4,1,,
1908,MERCADOTECNIA,5,,,1
193,AUDITORIA OPERACIONAL,7,,1,
2002,CAPACITACION DE PERSONAL,8,1,,
2003,COMPETENCIAS LABORALES,8,1,,
2005,NEGOCIACION SINDICAL,6,1,,
2009,MERCADOTECNIA DIRECTA,8,1,,
2012,RELACIONES PUBLICAS,7,1,,
2017,MERCADO DE VALORES,7,,1,
203,GOBIERNO CORPORATIVO,5,,1,
2034,LOS COSTOS ANTE LA GLOBALIZACION,7,,1,
2039,TENDENCIAS E INNOVACIONES EN LA CONTADURIA,8,,1,
2042,ANALISIS BURSATIL,6,,1,
2078,CONDUCTA DEL CONSUMIDOR,5,1,,
2080,CREDITO Y COBRANZAS,6,1,1,
2086,REFORMAS FISCALES RECIENTES,8,,1,
209,MARCO LEGAL DE LA AUDITORIA GUBERNAMENTAL,7,,1,
2090,TENDENCIAS ACTUALES EN ADMINISTRACION DE RECURSOS HUMANOS,8,1,,
214,PREVENCION Y DETECCION DE FRAUDES,8,,1,
233,GESTION DEL CONOCIMIENTO,6,,,1
248,INSTALACION DE REDES,7,,,1
270,REDES INALAMBRICAS,8,,,1
282,PROGRAMACION NEURO-LINGUISTICA,5,1,,
283,ADMINISTRACIÓN DE RIESGOS Y AUDITORÍA INTERNA,8,,1,
285,COACHING,3,1,,
285,COACHING,4,1,,
298,COMUNICACIÓN Y MOTIVACIÓN EN LAS ORGANIZACIONES,8,1,,
305,DIFERENTES TIPOS DE TEXTO QUE SE EMPLEAN EN EL TRABAJO ACADÉMICO,5,1,,
310,HERRAMIENTAS CUALITATIVAS PARA LA MEJORA CONTINUA,5,1,,
317,LA CALIDAD Y LA ORGANIZACIÓN,8,1,,
326,NÓMINAS,7,1,,
328,PROMOCIÓN DE VENTAS,8,1,,
329,RECLUTAMIENTO Y SELECCIÓN DE PERSONAL,8,1,,
335,SISTEMAS DE INFORMACIÓN PARA RECURSOS HUMANOS,7,1,,
336,SISTEMAS DE REMUNERACIÓN,8,1,,
349,DEFENSA ADMINISTRATIVA TRIBUTARIA,8,,1,
365,TRATAMIENTO FISCAL DE LAS REMUNERACIONES A TRABAJADORES,8,,1,
378,DESARROLLO DE SITIOS COMERCIALES,8,,,1
379,INFORMÁTICA FORENSE,8,,,1
383,PLANEACIÓN ESTRATÉGICA DE PROYECTOS INFORMÁTICOS,8,,,1
384,PROGRAMACIÓN DE ENTERPRISE RESOURCE PLANNING (ERP),8,,,1
386,SEGURIDAD EN REDES,8,,,1
409,LIDERAZGO CON CONCIENCIA SOCIAL,8,1,,
410,"PROTOCOLO, IMAGEN Y DESARROLLO PROFESIONAL",3,,1,
410,"PROTOCOLO, IMAGEN Y DESARROLLO PROFESIONAL",4,1,,
45,AUDITORÍA ADMINISTRATIVA,7,1,,
