Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/15,1,apren 1,7 ,'23-2,0310,8552
2023/02/27,1,,6 ,'23-2,0310,8552
2023/03/08,2,apren 1,7 ,'23-2,0310,8552
2023/03/15,,,,'23-2,0310,8552
2023/03/27,3,apren 1,7 ,'23-2,0310,8552
2023/04/10,3,,7 ,'23-2,0310,8552
2023/04/19,4,apren 1,7 ,'23-2,0310,8552
2023/04/26,,,,'23-2,0310,8552
2023/05/08,5,apren 1,7 ,'23-2,0310,8552
2023/05/17,,,,'23-2,0310,8552
2023/05/24,6,apren 1,7 ,'23-2,0310,8552
2023/05/31,6,,7 ,'23-2,0310,8552
